timestamp_us,slope,intercept
1778093011945678,0.049746365514776715,224.36525081367685
1778093011955663,0.051851187843576285,225.29338840315165
1778093011965693,0.04978632185537836,226.42259790459386
1778093011975694,0.048017726620562806,225.78192193857103
1778093011985694,0.0458467401438954,224.91987220137216
1778093011995697,0.04341781903560744,223.9471830946946
1778093012005698,0.03865897002521832,223.41196896029095
1778093012015693,0.04064603477082065,222.66133776916175
1778093012025696,0.036478406601834774,222.23487797420205
1778093012035694,0.033681041454067806,221.38723964299626
1778093012045688,0.029375305030104226,220.5610112586897
1778093012055691,0.031302199520597644,219.20817274659498
1778093012065690,0.03072230875659083,218.4199247869539
1778093012075686,0.029051738501201376,217.80127492065694
1778093012085691,0.029426141130566682,216.5899552360232
1778093012095684,0.022320002646874122,215.98288891641715
1778093012105695,0.023734751734412498,214.38627506960447
1778093012115698,0.024097989479697938,213.11044530085312
1778093012125694,0.020713805886837768,211.9448497408728
1778093012135698,0.014203881587451235,210.6724983426947
1778093012145695,0.012523600268291227,209.10754132396093
1778093012155684,0.013480187918390289,207.77531545427928
1778093012165693,0.009989971425313254,206.7347995752376
1778093012175698,0.006139933447509897,205.8009194586505
1778093012185698,0.009263310065794755,204.6314688893415
1778093012195697,0.011066083064381468,203.41502931110742
1778093012205697,0.006941979681660284,202.51326983265574
1778093012215698,0.0079223786172304,200.5918248125168
1778093012225694,0.0020466950582272154,199.16975937825083
1778093012235698,-0.0029909090563485386,197.83748588853203
1778093012245696,-0.005205280086388994,196.07731291223362
1778093012255696,-0.008086860961105233,194.35357450636087
1778093012265680,-0.015326599929746587,193.53009923536564
1778093012275683,-0.015097655571245585,192.1228214305032
1778093012285695,-0.018418943523668876,191.08238591540845
1778093012295696,-0.016794910104821464,190.00458306936437
1778093012305691,-0.01767535041303382,189.1380996232343
1778093012315694,-0.02034652168830085,188.2465637300673
1778093012325696,-0.020918107696046136,187.18207108298773
1778093012335698,-0.019973362954087793,186.3289910421135
1778093012345698,-0.023614169467813296,185.87724882515434
1778093012355698,-0.020767827656513162,184.83454694006144
1778093012365697,-0.022198917416457926,184.50889467343916
1778093012375696,-0.02166359057353978,183.63455582284743
1778093012385693,-0.022033867999915885,182.73156672203604
1778093012395698,-0.02649232903938779,182.04455467280118
1778093012405685,-0.029122526691436848,181.40581421893285
1778093012415669,-0.025963252013572285,180.57662326562397
1778093012425659,-0.02874973072611764,180.29236856875565
1778093012435614,-0.038935799233996565,180.77279824415092
1778093012445661,-0.02947011506808122,180.30669848727615
1778093012455697,-0.02800671975099726,179.86301958673985
1778093012465697,-0.021123172640551795,179.3892396073129
1778093012475680,-0.023477608821585245,180.24318439846175
1778093012485663,-0.023809685891199354,180.76687809509593
1778093012495698,-0.02111531215927352,181.02621994646648
1778093012505698,-0.02152477440549119,181.86579734638502
1778093012515693,-0.023523695031606513,182.9283238665229
1778093012525691,-0.01857188801840475,183.0873857266485
1778093012535686,-0.018522733872999637,183.66084056681103
1778093012545687,-0.021560480965259844,184.617502247453
1778093012555684,-0.01920036907618768,185.41846458377614
1778093012565694,-0.019033443062462463,186.23557301849286
1778093012575697,-0.015591999111919884,187.3776734255875
1778093012585698,-0.009373428457489388,188.08245753757527
1778093012595697,-0.00629472108748978,189.4064595796711
1778093012605698,-0.0026279626008623713,190.1574915565904
1778093012615698,-0.002461061217118305,191.9148864966624
1778093012625697,0.0005584820367604797,193.1538610247972
1778093012635697,0.0015434948514926228,194.72783223633792
1778093012645697,0.006262180317212242,195.64836892582295
1778093012655692,0.0076979118940262315,196.75107637376797
1778093012665690,0.00937215502705648,197.27053246410156
1778093012675689,0.0061523525822966465,198.69814695443674
1778093012685697,0.008539159552608007,199.94659303204324
1778093012695697,0.011761173164799415,201.46493511268142
1778093012705691,0.014055110512584238,202.6885910710517
1778093012715698,0.015798733717075644,203.46814066276607
1778093012725697,0.017934166365541106,204.7689781859322
1778093012735698,0.02086157548173389,205.85281981668965
1778093012745698,0.023234856768154028,206.8902283701245
1778093012755697,0.025446440469379626,207.93986744256395
1778093012765696,0.02724088017287465,209.09587277912019
1778093012775696,0.026272607892802096,210.23969652414596
1778093012785681,0.028017680776667428,210.9444856507413
1778093012795676,0.02960068684519304,211.70327762120908
1778093012805696,0.028242905122022852,212.82318273240034
1778093012815696,0.03033552251414925,213.59578994417214
1778093012825685,0.029813595212057422,214.55257618490265
1778093012835689,0.03419008505166764,215.1400968909931
1778093012845691,0.03258196079033421,215.77175649650516
1778093012855697,0.03356398594117322,216.31313142971987
